Transfer Size (MB),GPU1 to GPU0 (peer),GPU2 to GPU0 (peer),GPU3 to GPU0 (peer),GPU0 to GPU1 (peer),GPU2 to GPU1 (peer),GPU3 to GPU1 (peer),GPU0 to GPU2 (peer),GPU1 to GPU2 (peer),GPU3 to GPU2 (peer),GPU0 to GPU3 (peer),GPU1 to GPU3 (peer),GPU2 to GPU3 (peer)
0.001953,97.39,91.36,65.26,66.77,65.48,64.92,81.84,81.22,78.34,81.57,82.47,78.45
0.002930,122.07,119.74,116.60,121.93,118.32,116.94,121.91,121.48,116.96,122.37,122.38,117.02
0.003906,164.05,158.70,156.32,162.32,156.44,156.61,160.71,164.51,155.63,163.94,162.89,155.91
0.005859,245.85,236.34,236.03,244.13,238.11,232.84,243.77,244.76,233.13,242.63,243.65,234.83
0.007812,333.90,316.80,312.86,326.76,313.69,315.72,323.49,325.97,312.31,323.93,324.28,312.08
0.011719,494.38,468.71,474.89,492.63,471.54,473.12,492.34,487.00,464.96,484.51,489.10,470.50
0.015625,660.26,635.37,623.08,655.19,630.40,621.59,653.25,650.42,632.54,659.81,646.60,621.37
0.023438,986.39,941.00,938.85,990.30,948.35,965.06,971.30,973.20,935.37,977.30,967.05,923.14
0.031250,1333.65,1262.27,1257.65,1286.11,1253.11,1251.05,1312.09,1289.99,1247.80,1309.17,1536.31,1468.72
0.046875,2333.37,2220.62,2197.30,2321.00,2217.99,2197.09,2283.91,2278.03,2172.65,2346.33,2328.15,2220.30
0.062500,3115.50,2848.42,2833.18,3097.28,2847.12,2835.50,2915.93,2971.38,2937.44,2999.18,2859.89,2939.93
0.093750,4601.90,3935.93,4088.00,4695.95,4030.87,3999.57,4232.70,4237.29,4351.56,4308.17,4308.36,4414.26
0.125000,6056.20,5100.17,5033.62,6126.85,5169.13,5116.03,5343.71,5311.46,5598.60,5383.75,5398.87,5630.12
0.187500,8839.34,7104.96,6930.84,8631.80,7049.93,7034.86,7307.95,7378.11,8086.08,7294.02,7302.54,8187.42
0.250000,10838.46,8728.75,8543.21,10836.11,8698.07,8525.15,8656.51,9015.51,10333.57,8815.85,8883.83,10451.07
0.375000,15240.80,11422.48,11127.93,15099.05,11409.27,11231.92,11737.46,11907.79,14577.83,11720.95,11938.11,14609.06
0.500000,19109.50,13543.53,13363.98,18900.02,13381.86,13405.19,14082.92,13887.35,17885.25,13702.76,13851.18,17992.08
0.750000,25366.12,16550.45,16631.92,25108.80,16609.82,16488.95,17078.84,17131.50,23995.39,17007.96,16983.70,24063.14
1.000000,29713.27,18888.24,18778.99,29397.93,18792.05,18710.47,19156.72,19283.06,28390.54,19184.65,19145.72,28777.81
1.500000,36037.77,21730.94,21622.56,36666.75,21557.61,21545.53,21875.14,21909.64,35309.07,21949.72,21932.71,35202.18
2.000000,41383.88,23566.29,23162.89,41153.96,23410.16,23294.55,23702.58,23530.52,40052.07,23739.44,23623.35,40127.61
3.000000,47192.81,25618.47,25310.05,47323.09,25500.45,25294.26,25611.47,25668.67,46193.64,25570.43,25593.56,46441.07
4.000000,51006.10,26657.60,26343.69,51237.38,26628.32,26271.54,26784.16,26764.09,50152.34,27033.97,26490.59,50336.63
6.000000,55692.21,27925.81,27669.79,55678.25,27896.47,27691.88,28002.97,27853.21,54507.30,27999.57,27808.93,54962.67
8.000000,57772.58,28632.78,28321.69,57670.96,28571.53,28645.91,28940.42,28430.80,57286.07,28632.17,28904.45,57167.77
12.000000,60710.92,29336.63,28981.80,60801.67,29812.63,29723.06,29407.01,29143.61,60244.59,29995.43,29164.37,60255.79
16.000000,62154.03,29646.92,29980.34,62205.50,30437.40,30241.80,29713.93,29604.96,61865.16,30067.61,30337.96,61987.63
24.000000,63742.48,30626.97,30480.87,63844.39,30878.33,30373.98,30658.31,30736.01,63550.91,31000.46,30244.91,63575.65
32.000000,64583.45,30813.47,30491.81,64660.31,31186.20,30571.31,30844.56,30697.24,64382.82,31278.04,30527.65,64468.30
48.000000,65529.19,30937.46,30794.06,65529.37,31299.46,30999.88,31198.98,31126.02,65354.76,31492.72,30916.94,65450.02
64.000000,65954.84,31379.27,31018.05,65942.06,31576.48,31204.93,31509.41,31270.02,65813.49,31609.87,30792.87,65858.80
96.000000,66415.03,31588.70,31611.31,66370.99,31707.05,31386.82,31562.44,31377.14,66346.27,31636.76,31257.93,66337.93
128.000000,66623.50,31747.79,31703.72,66614.49,31779.63,31477.07,31684.23,31584.67,66590.61,31738.64,31415.27,66573.08
192.000000,66859.58,31825.21,31643.40,66849.95,31822.21,31568.70,31742.06,31668.05,66821.40,31857.02,31543.78,66834.82
256.000000,66933.39,31845.41,31830.47,66926.35,31834.44,31662.07,31821.45,31813.84,66915.58,32077.36,31724.17,66915.72
384.000000,67065.34,31872.15,31818.70,67057.33,32058.67,31936.69,31867.86,31831.84,67049.68,32092.05,31773.49,67048.17
512.000000,67130.40,31918.91,31868.12,67126.22,32098.05,31945.23,32194.29,31914.36,67124.28,32330.77,31977.54,67123.66
768.000000,67193.16,32181.73,32051.89,67193.32,32324.24,32116.26,32285.40,31920.26,67180.45,32339.04,32039.69,67186.75
1024.000000,67222.68,32202.94,32149.35,67224.70,32341.52,32124.33,32280.55,32040.21,67219.92,32352.75,32079.08,67220.16
1536.000000,67256.40,32230.03,32149.06,67258.73,32338.73,32094.67,32219.14,32147.25,67253.57,32360.95,32077.52,67253.72
2048.000000,67271.40,32254.17,32181.95,67273.35,32355.89,32151.64,32294.45,32159.96,67269.52,32355.14,32085.04,67271.00
3072.000000,67286.58,32209.32,32131.46,67287.94,32362.40,32102.34,32290.06,32134.85,67286.51,32368.90,32093.16,67285.78
4096.000000,67296.28,32317.56,32160.23,67296.14,32365.22,32227.12,32302.91,32138.92,67295.27,32366.51,32239.95,67295.60
6144.000000,67052.88,32192.49,32021.02,67051.56,32241.12,32070.56,32186.78,32013.14,67047.10,32238.46,32082.49,67047.35
8192.000000,66928.88,32122.87,31955.55,66928.34,32170.24,31993.01,32131.72,31942.85,66925.06,32172.97,31993.73,66925.24
12288.000000,66807.79,32072.38,31889.88,66806.89,31682.47,31693.21,31687.02,31656.15,66804.60,32107.09,31942.77,66803.93
